id,bloco,tema,subtema_edital,pergunta,opcao_a,opcao_b,opcao_c,opcao_d,opcao_e,correta,explicacao
74,Jornalismo,Articulacao dos codigos comunicacionais nas novas midias,Edital 1.1,"O conceito de 'convergencia midiatica', segundo Henry Jenkins, refere-se a:",A extincao definitiva das midias tradicionais,"O fluxo de conteudos atraves de multiplas plataformas, a cooperacao entre mercados midiaticos e a migracao dos publicos",A juncao fisica de uma emissora de TV e uma de radio apenas,A fusao obrigatoria de empresas de comunicacao,O uso exclusivo de redes sociais para difundir noticias,B,"Jenkins define convergencia como fluxo de conteudo entre plataformas, cooperacao de mercados e migracao de publicos."
75,Jornalismo,Articulacao dos codigos comunicacionais nas novas midias,Edital 1.1,"A navegacao nao linear entre conteudos, por meio de links, e chamada de:",Multimidialidade,Hipertextualidade,Instantaneidade,Personalizacao,Memoria,B,Hipertextualidade e a possibilidade de navegar de forma nao linear por meio de links entre conteudos.
76,Jornalismo,Articulacao dos codigos comunicacionais nas novas midias,Edital 1.1,"A integracao de texto, imagem, video e audio em uma mesma reportagem digital caracteriza:",Interatividade,Multimidialidade,Hipertextualidade,Convergencia de mercado apenas,Redundancia,B,"Multimidialidade e a integracao de diferentes linguagens (texto, imagem, video, audio) em uma mesma peca jornalistica."
77,Jornalismo,Formas de jornalismo e seu papel no mundo global,Edital 1.2,"O radiojornalismo se caracteriza, entre outros aspectos, por:",Uso exclusivo de texto escrito,"Linguagem oral, imediatismo e uso de sonoras/boletins",Ausencia de qualquer imediatismo,Dependencia exclusiva de imagens,Baixa penetracao em areas remotas,B,"O radiojornalismo se apoia na linguagem oral, no imediatismo e no uso de sonoras, boletins e flashes."
78,Jornalismo,Formas de jornalismo e seu papel no mundo global,Edital 1.2,O jornalismo comunitario tem como caracteristica central:,Cobrir exclusivamente pautas internacionais,"Dar voz a demandas e grupos locais, com participacao popular",Ser financiado apenas por grandes conglomerados,Ignorar pautas hiperlocais,Substituir o telejornalismo tradicional,B,O jornalismo comunitario valoriza pautas hiperlocais e da voz a grupos pouco representados na grande midia.
79,Jornalismo,Formas de jornalismo e seu papel no mundo global,Edital 1.2,O documentario jornalistico se distingue por:,Ser sempre ao vivo e sem edicao,Apuracao aprofundada e uso de recursos de linguagem cinematografica para dar contexto e profundidade,Ausencia total de apuracao,Ser exclusivo de radio,Ter formato fixo de 30 segundos,B,O documentario combina apuracao aprofundada com recursos de linguagem cinematografica para contextualizar o fato.
80,Jornalismo,Perfil do jornalismo com o advento das novas tecnologias,Edital 1.3,"Com o advento das novas tecnologias, o perfil do jornalista passou a exigir, entre outras habilidades:",Exclusivamente dominio de maquina de escrever,"Multifuncionalidade (apuracao, edicao de audio/video, publicacao multiplataforma) e curadoria de informacao",Isolamento total das redes sociais,Dependencia exclusiva de agencias de noticias estrangeiras,Abandono da checagem de fontes,B,"O jornalista contemporaneo tende a ser multifuncional, dominando apuracao, edicao multimidia e curadoria de conteudo."
81,Jornalismo,Perfil do jornalismo com o advento das novas tecnologias,Edital 1.3,Um risco associado ao jornalismo praticado em redes sociais e:,Excesso de apuracao,"A potencial disseminacao de desinformacao, dado o imediatismo e a logica de viralizacao",Ausencia de qualquer engajamento do publico,Impossibilidade de checagem colaborativa,Baixo alcance de publico,B,O imediatismo e a logica de viralizacao das redes sociais aumentam o risco de disseminacao de desinformacao.
82,Jornalismo,Perfil do jornalismo com o advento das novas tecnologias,Edital 1.3,"O fenomeno pelo qual o jornalista precisa produzir conteudo simultaneamente para diferentes suportes (texto, video, audio, redes) e chamado de:",Jornalismo monomidia,Jornalismo multiplataforma (ou multimidia),Jornalismo impresso classico,Radiojornalismo exclusivo,Jornalismo de gabinete,B,O jornalismo multiplataforma/multimidia exige producao de conteudo adaptado a diferentes suportes simultaneamente.
83,Jornalismo,Perfil da propaganda institucional e educativa,Edital 1.4,A propaganda institucional tem como foco principal:,Vender diretamente um produto,"Promover a imagem, valores e identidade de uma organizacao",Substituir a assessoria de imprensa,Divulgar exclusivamente resultados financeiros,Atacar a concorrencia,B,"A propaganda institucional promove a imagem, os valores e a identidade da organizacao, nao um produto especifico."
84,Jornalismo,Perfil da propaganda institucional e educativa,Edital 1.4,A propaganda educativa tem como principal finalidade:,Vender produtos privados,"Informar, orientar e/ou mudar comportamentos de interesse publico",Fazer campanha eleitoral,Divulgar exclusivamente marcas comerciais,Substituir o jornalismo investigativo,B,"A propaganda educativa busca informar, orientar ou mudar comportamentos de interesse coletivo."
85,Jornalismo,Perfil da propaganda institucional e educativa,Edital 1.4,Uma campanha do IBGE incentivando a populacao a responder ao Censo com dados corretos e um exemplo de:,Propaganda comparativa,Propaganda institucional/educativa de utilidade publica,Publicidade de produto,Marketing de guerrilha comercial,Propaganda eleitoral,B,Campanhas de orgaos publicos que informam e orientam o cidadao sobre um servico de interesse coletivo sao propaganda institucional/educativa.
86,Jornalismo,"Comunicacao publica: LAI, transparencia, interesse publico e democracia",Edital 1.5,"Segundo a LAI (Lei no 12.527/2011), a regra geral e:","O sigilo e a regra, e a publicidade e a excecao","A publicidade e a regra, e o sigilo e a excecao",Toda informacao publica e sempre sigilosa,Apenas jornalistas credenciados podem solicitar informacoes,Nao ha prazos para resposta aos pedidos,B,"A LAI inverte a logica anterior: a publicidade e a regra, e o sigilo, a excecao."
87,Jornalismo,"Comunicacao publica: LAI, transparencia, interesse publico e democracia",Edital 1.5,"'Transparencia ativa', no ambito da LAI, significa que:",O orgao so responde quando solicitado,"O orgao divulga proativamente informacoes de interesse coletivo, independentemente de solicitacao",E facultativo aos orgaos publicos divulgar qualquer dado,Refere-se apenas a dados orcamentarios,E sinonimo de sigilo total,B,"Transparencia ativa e a divulgacao proativa de informacoes de interesse coletivo, sem que haja pedido formal."
88,Jornalismo,"Comunicacao publica: LAI, transparencia, interesse publico e democracia",Edital 1.5,A comunicacao publica se diferencia da comunicacao governamental de carater pessoal porque:,"E voltada ao interesse coletivo e ao exercicio da cidadania, nao a promocao pessoal do governante",Tem como unico objetivo eleger candidatos,Nao pode usar nenhum canal de midia,E proibida por lei,E identica a publicidade comercial,A,"A comunicacao publica serve ao interesse coletivo e a cidadania, diferindo da promocao pessoal de um governante."
89,Jornalismo,"Jornalismo de dados: raspagem, limpeza e visualizacao",Edital 1.6,"A 'raspagem de dados' (web scraping), no jornalismo de dados, refere-se a:",A limpeza manual de planilhas,A coleta automatizada de dados de sites e sistemas quando nao ha base pronta,A visualizacao final dos dados em graficos,A checagem de fontes humanas,A publicacao de dados sigilosos,B,Web scraping e a tecnica de coleta automatizada de dados de sites/sistemas quando nao existe base pronta para download.
90,Jornalismo,"Jornalismo de dados: raspagem, limpeza e visualizacao",Edital 1.6,A etapa de 'limpeza de dados' no jornalismo de dados tem como objetivo:,Publicar os dados sem qualquer tratamento,"Tratar inconsistencias, duplicidades e erros de formato antes da analise",Excluir toda a base de dados coletada,Substituir a apuracao jornalistica,Gerar automaticamente a manchete,B,"A limpeza de dados trata inconsistencias, duplicidades e erros de formatacao antes da analise dos dados."
91,Jornalismo,"Jornalismo de dados: raspagem, limpeza e visualizacao",Edital 1.6,A visualizacao de dados no jornalismo tem como principal funcao:,Substituir integralmente o texto da reportagem,"Tornar dados complexos mais acessiveis por meio de graficos, mapas e infograficos",Ocultar informacoes sensiveis,Aumentar artificialmente o volume de uma base de dados,Eliminar a necessidade de apuracao previa,B,"A visualizacao (data storytelling) transforma numeros em graficos, mapas e infograficos que comuniquem com clareza."
92,Jornalismo,"Comunicacao cidada: colaborativo, financiamento coletivo, copyleft, narrativas independentes",Edital 1.7,"O modelo de licenciamento que permite copiar/redistribuir conteudo, geralmente exigindo a manutencao da mesma licenca livre, e:",Copyright,Copyleft,Paywall,Embargo,Sigilo editorial,B,"Copyleft permite copiar, usar e redistribuir conteudo, geralmente exigindo a manutencao da mesma licenca livre."
93,Jornalismo,"Comunicacao cidada: colaborativo, financiamento coletivo, copyleft, narrativas independentes",Edital 1.7,O financiamento de projetos jornalisticos diretamente pelo publico e conhecido como:,Jornalismo de dados,Financiamento coletivo (crowdfunding),Assessoria de imprensa,Clipping,Transparencia ativa,B,"Crowdfunding e o financiamento coletivo de projetos jornalisticos diretamente pelo publico, sem depender so de publicidade."
94,Jornalismo,"Comunicacao cidada: colaborativo, financiamento coletivo, copyleft, narrativas independentes",Edital 1.7,O jornalismo colaborativo se caracteriza por:,"Producao exclusiva de profissionais, sem qualquer participacao do publico","Producao conjunta entre jornalistas e cidadaos/fontes, muitas vezes em rede",Ser sinonimo de propaganda institucional,Uso exclusivo de fontes oficiais,Ausencia de checagem,B,"O jornalismo colaborativo envolve producao conjunta entre profissionais e cidadaos/fontes, muitas vezes em rede."
95,Jornalismo,Politica editorial,Edital 2,A politica editorial de um veiculo se refere a:,Apenas ao design grafico das paginas,Ao conjunto de diretrizes que orienta a linha de cobertura e hierarquizacao das pautas,A grade de programacao de TV,Exclusivamente aos contratos publicitarios,A gestao financeira da empresa,B,Politica editorial e o conjunto de diretrizes que orienta a linha de cobertura e a hierarquizacao de pautas de um veiculo.
96,Jornalismo,Politica editorial,Edital 2,A hierarquizacao de pautas dentro de uma politica editorial serve para:,Definir qual assunto e mais relevante e merece mais espaco/destaque na cobertura,Estabelecer apenas o horario de expediente da redacao,Definir o salario dos jornalistas,Escolher apenas a cor do logotipo do veiculo,Cancelar toda cobertura factual,A,"A hierarquizacao define a relevancia relativa dos assuntos, orientando espaco e destaque na cobertura."
97,Jornalismo,Editoriais (tipos comuns e especiais),Edital 2.1,O editorial de um jornal se caracteriza por:,Ser assinado obrigatoriamente por um reporter especifico,"Expressar a posicao oficial e institucional do veiculo, sem assinatura individual",Ser sempre uma reportagem investigativa,Nao expressar nenhuma opiniao,Ser exclusivo de veiculos digitais,B,"O editorial expressa a posicao institucional do veiculo, sem assinatura de um autor individual."
98,Jornalismo,Editoriais (tipos comuns e especiais),Edital 2.1,Um editorial de efemeride ou de balanco/retrospectiva e classificado como um tipo:,"Comum, ligado a cobertura diaria de politica","Especial, ligado a uma data ou momento especifico",Reportagem investigativa,Nota oficial,Release institucional,B,"Editoriais de efemeride, balanco ou repudio/apoio a um fato especifico sao classificados como tipos especiais."
99,Jornalismo,Reportagem (tipos) e entrevista (modalidades),Edital 2.2,A reportagem investigativa tem como caracteristica central:,"Revelar fatos ocultos de relevante interesse publico, a partir de apuracao aprofundada",Ser sempre curta e sem apuracao,Reproduzir apenas releases oficiais,Nao usar multiplas fontes,Ser sinonimo de nota factual,A,"A reportagem investigativa revela fatos ocultos de interesse publico, com apuracao aprofundada e multiplas fontes."
100,Jornalismo,Reportagem (tipos) e entrevista (modalidades),Edital 2.2,A entrevista em formato 'pingue-pongue' caracteriza-se por:,"Ser publicada em formato de pergunta e resposta, na integra",Ser resumida em uma unica frase,Nao ter perguntas do jornalista,Ser sempre feita por telefone,Ser exclusiva de radio,A,O pingue-pongue apresenta a entrevista integralmente em formato de pergunta e resposta.
101,Jornalismo,Reportagem (tipos) e entrevista (modalidades),Edital 2.2,Uma 'entrevista de perfil' busca principalmente:,Coletar dados estatisticos,Construir a personalidade e a trajetoria do entrevistado de forma aprofundada,Divulgar um produto comercial,Ser um texto curto sem contexto,Substituir a reportagem factual,B,"A entrevista de perfil constroi, de forma aprofundada, a personalidade e trajetoria do entrevistado."
102,Jornalismo,Titulacao,Edital 2.3,"Em manuais de redacao jornalistica, o tempo verbal preferencial para titulos e:",Preterito perfeito,"Presente do indicativo, para dar sensacao de atualidade",Futuro do subjuntivo,Preterito mais-que-perfeito,Gerundio exclusivamente,B,"O presente do indicativo e o tempo verbal preferencial em titulos, por dar sensacao de atualidade."
103,Jornalismo,Titulacao,Edital 2.3,"Um bom titulo jornalistico deve, sobretudo:","Ser ambiguo, para gerar curiosidade a qualquer custo","Ser claro, objetivo e informativo, evitando ambiguidade e sensacionalismo",Conter jargoes tecnicos complexos,Repetir integralmente o primeiro paragrafo do texto,Ser sempre uma pergunta retorica,B,"O titulo deve ser claro, objetivo e informativo, evitando ambiguidade, jargao e sensacionalismo."
104,Jornalismo,O texto jornalistico: estrutura da noticia,Edital 2.4,A estrutura da 'piramide invertida' na noticia significa que:,A informacao mais importante e apresentada por ultimo,"A informacao mais importante vem primeiro, seguida de detalhes em ordem decrescente de relevancia",O texto deve ser sempre em ordem cronologica estrita,Nao ha hierarquizacao de informacoes,O titulo vem sempre no final do texto,B,"Na piramide invertida, a informacao mais importante vem primeiro, com detalhes em ordem decrescente de relevancia."
105,Jornalismo,O texto jornalistico: estrutura da noticia,Edital 2.4,"O lide (lead) de uma noticia deve, geralmente, responder a:",Apenas 'quem' e 'quando',"O que, quem, quando, onde, como e por que",Somente dados estatisticos,Exclusivamente a opiniao do reporter,Apenas ao 'onde',B,"O lide responde classicamente as perguntas: o que, quem, quando, onde, como e por que."
106,Jornalismo,O texto jornalistico: estrutura da noticia,Edital 2.4,Uma caracteristica central do texto jornalistico informativo e:,A presenca constante de opiniao pessoal do autor,A objetividade e clareza na apresentacao dos fatos apurados,O uso de linguagem rebuscada e prolixa,A ausencia de qualquer estrutura,A obrigatoriedade de rimas,B,O texto jornalistico informativo busca objetividade e clareza na apresentacao dos fatos apurados.
107,Jornalismo,Numeros e siglas,Edital 2.5,"Segundo convencoes usuais de manuais de redacao, numeros de 1 a 9 devem ser escritos:",Sempre em algarismos,"Por extenso, geralmente",Sempre em romanos,Nunca devem aparecer no texto,Apenas em titulos,B,"A convencao usual em manuais de redacao e escrever numeros de 1 a 9 por extenso, e a partir de 10 em algarismos."
108,Jornalismo,Numeros e siglas,Edital 2.5,"Sobre o uso de siglas em texto jornalistico, a pratica usual recomenda:",Nunca explicar o significado de uma sigla,"Na primeira mencao, explicar a sigla por extenso, facilitando a compreensao do leitor",Usar sempre letras minusculas em qualquer sigla,"Evitar completamente o uso de siglas, mesmo as consagradas",Trocar a sigla a cada nova mencao no texto,B,"A pratica usual e explicar a sigla por extenso na primeira mencao, para orientar o leitor."
109,Jornalismo,Uso correto dos verbos,Edital 2.6,"O uso de verbos de elocucao (como 'disse', 'afirmou') em uma materia serve para:",Confundir a autoria da fala,"Atribuir corretamente a fala a fonte, evitando que a opiniao dela pareca do veiculo",Substituir a apuracao,Eliminar a necessidade de aspas,Indicar que o fato nao e verdadeiro,B,"Verbos de elocucao atribuem corretamente a fala a fonte, evitando confundir a opiniao dela com a do veiculo."
110,Jornalismo,Uso correto dos verbos,Edital 2.6,"Na redacao jornalistica, a concordancia verbal correta e a clareza na conjugacao dos tempos verbais sao importantes principalmente para:",Tornar o texto mais dificil de entender,Garantir precisao e credibilidade na transmissao da informacao ao leitor,Seguir apenas uma exigencia estetica sem funcao pratica,Aumentar artificialmente o numero de palavras do texto,Substituir a necessidade de apuracao factual,B,"O uso correto dos verbos garante precisao e credibilidade na transmissao da informacao, evitando ambiguidades."
111,Jornalismo,Comunicacao organizacional integrada: areas e atribuicoes,Edital 3,O objetivo central da comunicacao organizacional integrada e:,"Manter cada area de comunicacao isolada, sem qualquer dialogo",Articular as diferentes areas de comunicacao para que atuem de forma coerente com a identidade institucional,Substituir totalmente a assessoria de imprensa pela publicidade,Focar exclusivamente em comunicacao interna,Eliminar a necessidade de politicas de comunicacao,B,A comunicacao organizacional integrada articula as diferentes areas para atuarem de forma coerente com a identidade institucional.
112,Jornalismo,Comunicacao organizacional integrada: areas e atribuicoes,Edital 3,A comunicacao interna e voltada principalmente para:,A imprensa externa,Os proprios colaboradores da organizacao,Concorrentes do mercado,Orgaos reguladores exclusivamente,Apenas acionistas,B,"A comunicacao interna e direcionada aos proprios colaboradores, buscando informar e alinhar a cultura organizacional."
113,Jornalismo,Comunicacao organizacional integrada: areas e atribuicoes,Edital 3,"O termo 'stakeholders', no contexto da comunicacao institucional, refere-se a:",Apenas os acionistas da empresa,Os diversos publicos de interesse (internos e externos) que se relacionam com a organizacao,Somente jornalistas,Somente concorrentes,Somente o governo,B,"Stakeholders sao os diversos publicos de interesse, internos e externos, que se relacionam com a organizacao."
114,Jornalismo,"Politicas de Comunicacao: valores, objetivos, diretrizes e procedimentos",Edital 3.1,"Uma 'Politica de Comunicacao' formaliza, entre outros elementos:",Apenas a identidade visual da marca,"Valores, objetivos, diretrizes e procedimentos de comunicacao",Exclusivamente o organograma de RH,Somente o plano de midia paga,Apenas o cronograma de ferias da equipe,B,"A Politica de Comunicacao formaliza valores, objetivos, diretrizes e procedimentos de comunicacao da organizacao."
115,Jornalismo,"Politicas de Comunicacao: valores, objetivos, diretrizes e procedimentos",Edital 3.1,"'Procedimentos', dentro de uma Politica de Comunicacao, dizem respeito a:",Valores abstratos da organizacao,"Fluxos praticos e responsabilidades, como quem autoriza a divulgacao de uma nota oficial",Apenas ao logotipo da instituicao,Exclusivamente a publicidade paga,Ao historico da fundacao da empresa,B,"Procedimentos sao fluxos praticos e responsabilidades operacionais, como a autorizacao de uma nota oficial."
116,Jornalismo,"Politicas de Comunicacao: valores, objetivos, diretrizes e procedimentos",Edital 3.1,As 'diretrizes' de uma Politica de Comunicacao representam:,Regras contabeis da empresa,Linhas gerais de atuacao que orientam as acoes de comunicacao da organizacao,Apenas o cronograma de eventos sociais,A lista de fornecedores de midia,O quadro de horarios da equipe,B,As diretrizes sao as linhas gerais de atuacao que orientam as acoes de comunicacao da organizacao.
117,Jornalismo,Assessoria de imprensa: questoes eticas e papel do assessor (publico e privado),Edital 4,"Uma responsabilidade adicional do assessor de imprensa em orgaos publicos, em comparacao com a iniciativa privada, e:",Focar exclusivamente na venda de produtos,Garantir transparencia e acesso a informacao de interesse coletivo,Evitar qualquer contato com a imprensa,"Divulgar apenas informacoes favoraveis ao gestor, mesmo que parciais",Ignorar a Lei de Acesso a Informacao,B,"No setor publico, o assessor tem a responsabilidade adicional de garantir transparencia e acesso a informacao de interesse coletivo."
118,Jornalismo,Assessoria de imprensa: questoes eticas e papel do assessor (publico e privado),Edital 4,"Do ponto de vista etico, o assessor de imprensa deve:","Manipular dados para favorecer a imagem da instituicao, mesmo que distorca fatos","Mediar com transparencia a relacao entre a fonte e os jornalistas, respeitando o interesse publico",Impedir sempre o acesso da imprensa as fontes,Fornecer informacoes falsas quando conveniente,Ignorar o direito de resposta,B,"Eticamente, o assessor media com transparencia a relacao fonte-jornalista, respeitando o interesse publico e o direito de resposta."
119,Jornalismo,Assessoria de imprensa: questoes eticas e papel do assessor (publico e privado),Edital 4,"Na iniciativa privada, o papel do assessor de imprensa tende a se concentrar principalmente em:",Garantir exclusivamente o cumprimento da Lei de Acesso a Informacao,Reputacao da marca e relacionamento comercial/institucional com a imprensa,Fiscalizar o uso de verbas publicas,Substituir integralmente o departamento juridico da empresa,Redigir exclusivamente contratos comerciais,B,"No setor privado, o assessor foca principalmente na reputacao da marca e no relacionamento comercial com a imprensa."
120,Jornalismo,"Perfil do profissional de assessoria: exigencias, dados e pesquisa complementar",Edital 4.1,"No perfil exigido do assessor de imprensa, e importante:",Desconhecer completamente o funcionamento das redacoes,"Ter capacidade de leitura e cruzamento de dados, mapas, graficos e indicadores numericos",Evitar qualquer pesquisa complementar,Ignorar a politica editorial dos veiculos,Restringir-se apenas a redacao de convites de eventos,B,"O perfil exigido inclui capacidade de leitura e cruzamento de dados, mapas, graficos e indicadores numericos."
121,Jornalismo,"Perfil do profissional de assessoria: exigencias, dados e pesquisa complementar",Edital 4.1,"A pesquisa complementar em livros, textos e outras fontes, por parte do assessor de imprensa, tem como objetivo:",Substituir a apuracao jornalistica do repórter,Embasar com mais profundidade e precisao as informacoes divulgadas,Aumentar artificialmente o tamanho de um release,Evitar qualquer contato com fontes primarias,Confundir o jornalista com excesso de dados,B,A pesquisa complementar embasa com mais profundidade e precisao as informacoes que a assessoria divulga.
122,Jornalismo,"Perfil do profissional de assessoria: exigencias, dados e pesquisa complementar",Edital 4.1,"Alem de boa redacao, uma exigencia central do perfil do assessor de imprensa e:",Capacidade de sintese e conhecimento do funcionamento das redacoes jornalisticas,Formacao exclusiva em direito tributario,Habilidade unica em programacao de sistemas,Desconhecimento proposital das pautas do veiculo,Foco exclusivo em midias impressas,A,O perfil do assessor exige capacidade de sintese e conhecimento de como as redacoes jornalisticas funcionam.
123,Jornalismo,Veiculos de comunicacao internos e externos,Edital 4.2,O 'house organ' e:,Um tipo de release exclusivo para a imprensa externa,Uma publicacao institucional voltada ao publico interno e/ou externo da organizacao,Sinonimo de clipping eletronico,Um formato de entrevista coletiva,Um instrumento de fiscalizacao do governo,B,House organ e a publicacao institucional (impressa ou digital) voltada ao publico interno e/ou externo.
124,Jornalismo,Veiculos de comunicacao internos e externos,Edital 4.2,"A newsletter, como veiculo de comunicacao, caracteriza-se por:","Ser um boletim periodico, geralmente enviado por e-mail",Ser exclusiva de midia impressa em grande formato,Substituir totalmente o site institucional,Ser proibida em orgaos publicos,Nao poder ter periodicidade definida,A,"Newsletter e um boletim periodico, tipicamente distribuido por e-mail, com atualizacoes institucionais."
125,Jornalismo,Veiculos de comunicacao internos e externos,Edital 4.2,"Uma revista institucional, como veiculo de comunicacao externo, tem como funcao principal:",Substituir a comunicacao interna da empresa,Aprofundar conteudos e fortalecer a imagem da organizacao junto a publicos externos,Servir apenas como material de RH,Ser usada exclusivamente para fins fiscais,Divulgar apenas balancetes financeiros,B,A revista institucional aprofunda conteudos e fortalece a imagem da organizacao perante publicos externos.
126,Jornalismo,Clipping e clipping eletronico,Edital 4.3,O 'clipping eletronico' se diferencia do clipping tradicional por:,"Ser feito manualmente, recortando jornais impressos",Ser realizado por meio de monitoramento e compilacao automatizada/digital de mencoes a organizacao,Nao incluir mencoes em sites e redes sociais,Ser exclusivo de emissoras de radio,Substituir totalmente a assessoria de imprensa,B,O clipping eletronico usa monitoramento automatizado/digital para compilar mencoes a organizacao em diferentes veiculos.
127,Jornalismo,Clipping e clipping eletronico,Edital 4.3,"O clipping, de forma geral, tem como principal utilidade:",Redigir novas pautas para a imprensa,"Compilar e organizar as materias ja publicadas sobre a organizacao, permitindo acompanhar sua repercussao",Substituir a producao de releases,Definir a politica editorial do veiculo,Eliminar a necessidade de monitoramento de midia,B,"O clipping compila as materias publicadas sobre a organizacao, permitindo acompanhar sua repercussao na midia."
128,Jornalismo,"Producao de releases, comunicados e notas oficiais",Edital 4.4,"O release jornalistico deve, preferencialmente:",Conter opinioes pessoais do assessor,"Seguir estrutura semelhante a noticia, com lide e informacoes objetivas, sem opiniao",Ser sempre confidencial e nunca enviado a imprensa,Substituir a apuracao do jornalista,Ser escrito em primeira pessoa como um diario,B,"O release segue estrutura semelhante a noticia (lide, piramide invertida), com informacoes objetivas e sem opiniao."
129,Jornalismo,"Producao de releases, comunicados e notas oficiais",Edital 4.4,A 'nota oficial' se caracteriza por:,Ser uma manifestacao pessoal de um funcionario qualquer,"Ser uma manifestacao institucional formal, assinada em nome da organizacao, usada para esclarecer ou se posicionar sobre um fato",Nunca abordar temas polemicos,Ser sinonimo exato de release,Ser sempre anonima,B,"A nota oficial e manifestacao institucional formal, em nome da organizacao, para esclarecer ou se posicionar sobre um fato."
130,Jornalismo,"Producao de releases, comunicados e notas oficiais",Edital 4.4,A principal diferenca entre release e nota oficial e que:,"Nao ha diferenca, sao sinonimos","O release e proativo (sugestao de pauta), enquanto a nota oficial costuma ser reativa (posicionamento formal diante de uma demanda/crise)",A nota oficial e sempre mais longa que o release,O release nunca e enviado a imprensa,A nota oficial e assinada por um jornalista externo,B,"O release costuma ser proativo (sugestao de pauta) e a nota oficial reativa (posicionamento formal, muitas vezes em crise)."
131,Jornalismo,Midias Sociais: a Internet como ferramenta para construcao da marca,Edital 5,A construcao de marca por meio da internet se fortalece principalmente por meio de:,"Presenca digital consistente, com identidade visual e tom de voz coerentes ao longo do tempo","Publicacoes aleatorias, sem qualquer padrao",Ausencia total de interacao com o publico,Uso exclusivo de midia impressa,Mudanca de identidade visual a cada semana,A,"Uma marca se fortalece na internet por meio de presenca digital consistente, com identidade e tom de voz coerentes."
132,Jornalismo,Midias Sociais: a Internet como ferramenta para construcao da marca,Edital 5,"Em comparacao com a midia tradicional, as redes sociais como ferramenta de marca oferecem principalmente:","Canais diretos de relacionamento com o publico, sem intermediacao da midia tradicional",Menor alcance de publico em qualquer situacao,Impossibilidade de mensurar resultados,Comunicacao exclusivamente unidirecional,Nenhuma vantagem em relacao a midia tradicional,A,"As redes sociais permitem relacionamento direto com o publico, sem a intermediacao da midia tradicional."
133,Jornalismo,A importancia das redes sociais para as marcas,Edital 5.1,"Para uma marca, a principal importancia estrategica das redes sociais e:","Permitir relacionamento direto e mensuravel com o publico, fortalecendo reputacao e vendas",Servir apenas como arquivo de fotos institucionais,Eliminar a necessidade de qualquer estrategia de comunicacao,Substituir integralmente o atendimento ao cliente por telefone,Reduzir zero o investimento em comunicacao,A,"As redes sociais permitem relacionamento direto e mensuravel com o publico, fortalecendo reputacao e resultados de negocio."
134,Jornalismo,A importancia das redes sociais para as marcas,Edital 5.1,Redes sociais bem geridas contribuem para as marcas principalmente ao:,Fortalecer a percepcao de proximidade e confianca junto ao publico,Eliminar toda concorrencia do mercado automaticamente,Garantir vendas independentemente da qualidade do produto,Substituir a necessidade de atendimento ao cliente,Tornar desnecessaria qualquer pesquisa de publico,A,Uma boa gestao de redes sociais fortalece a percepcao de proximidade e confianca do publico com a marca.
135,Jornalismo,A interacao entre marcas digitais e o seu publico,Edital 5.2,Uma boa interacao entre marca e publico nas redes sociais envolve:,Ignorar comentarios e duvidas do publico,"Responder comentarios, ouvir feedback e ajustar a comunicacao conforme a percepcao do publico",Deletar automaticamente qualquer critica,Publicar apenas conteudo institucional sem interacao,Bloquear todos os seguidores que comentam,B,"A interacao vai alem de divulgar conteudo: envolve responder, ouvir feedback e ajustar a comunicacao."
136,Jornalismo,A interacao entre marcas digitais e o seu publico,Edital 5.2,A interacao entre marcas digitais e o publico se diferencia da comunicacao tradicional principalmente por ser:,"De mao unica, sem qualquer resposta do publico","Bidirecional, permitindo que o publico responda, comente e influencie a percepcao da marca em tempo real",Impossivel de ser monitorada,Restrita apenas a grandes empresas,Sempre negativa para a reputacao da marca,B,"A interacao digital e bidirecional: o publico pode responder, comentar e influenciar a percepcao da marca em tempo real."
137,Jornalismo,Construindo presenca e engajamento nas redes sociais,Edital 5.3,O 'engajamento' nas redes sociais e medido principalmente por:,Apenas o numero de seguidores,"Curtidas, comentarios, compartilhamentos e interacao real do publico com o conteudo",Exclusivamente o orcamento investido em midia paga,O numero de funcionarios da empresa,"A quantidade de posts publicados, independentemente da interacao",B,"Engajamento e medido por curtidas, comentarios, compartilhamentos e interacao real, nao apenas alcance."
138,Jornalismo,Construindo presenca e engajamento nas redes sociais,Edital 5.3,"Construir presenca consistente nas redes sociais envolve, entre outros fatores:",Publicar apenas uma vez por ano,Manter regularidade de publicacao e coerencia de tom de voz ao longo do tempo,Copiar integralmente o conteudo de concorrentes,Ignorar metricas de desempenho,"Focar exclusivamente em uma unica rede social, ignorando as demais sempre",B,Presenca consistente exige regularidade de publicacao e coerencia de tom de voz ao longo do tempo.
139,Jornalismo,Cenario atual da exploracao de redes sociais e midias interativas por empresas,Edital 5.4,"No cenario atual, empresas e orgaos publicos tendem a explorar as redes sociais principalmente para:",Substituir integralmente a comunicacao institucional formal,"Ampliar alcance, dialogar diretamente com o publico e fortalecer a reputacao de forma agil",Reduzir a zero qualquer investimento em comunicacao,Evitar qualquer tipo de mensuracao de resultados,Ignorar tendencias de consumo de midia,B,"Empresas e orgaos publicos usam redes sociais para ampliar alcance, dialogar com o publico e fortalecer reputacao de forma agil."
